"activity","subject","tBodyAccstdX","tBodyAccstdY","tBodyAccstdZ","tGravityAccmeanX","tGravityAccmeanY","tGravityAccmeanZ","tGravityAccstdX","tGravityAccstdY","tGravityAccstdZ","tBodyAccJerkstdX","tBodyAccJerkstdY","tBodyAccJerkstdZ","tBodyGyroJerkstdX","tBodyGyroJerkstdY","tBodyGyroJerkstdZ","fBodyAccmeanX","fBodyAccmeanY","fBodyAccmeanZ","fBodyAccstdX","fBodyAccstdY","fBodyAccstdZ","fBodyAccJerkstdX","fBodyAccJerkstdY","fBodyAccJerkstdZ"
1,3,-0.360356726034483,-0.0699140652103448,-0.387411994310345,0.936506743275862,-0.261986357931034,-0.138107866258621,-0.97777159137931,-0.962355639482759,-0.952091795,-0.26867964387931,-0.0449619594258621,-0.52948611637931,-0.385922986034483,-0.639087984137931,-0.536664080344828,-0.316614011689655,-0.0813024353275862,-0.412374074482759,-0.379276781206897,-0.124030832001724,-0.422998473965517,-0.296596633103448,-0.00561498755362069,-0.543529108103448
2,3,-0.313123437627119,0.0116280813372881,-0.369754604067797,0.883533436101695,-0.382851153728814,-0.162943955254237,-0.944040819322034,-0.909825953898305,-0.909469675084746,-0.458364616949153,-0.251680364540678,-0.708551711864407,-0.507270757966102,-0.775774143389831,-0.573433947627119,-0.392004211474576,-0.0788094156644068,-0.504494528474576,-0.285333024050847,-0.00803987529661017,-0.350797226271186,-0.486446509661017,-0.268191523644068,-0.738705863898305
3,3,-0.0574100475102041,-0.0331503723387755,-0.362240245489796,0.939057787755102,-0.228829214285714,-0.102352758040816,-0.950061129591837,-0.946094637755102,-0.899943947755102,-0.0858010042244898,-0.111439194979592,-0.571735243061224,-0.285683162346939,-0.680947338163265,-0.374605412306122,-0.0421706943244898,-0.00770048300204082,-0.404452414285714,-0.0654417192653061,-0.109722354322449,-0.389723034061224,-0.165442898685714,-0.14772824006198,-0.613525074285714
4,3,-0.971010120961538,-0.856617812115385,-0.875110175384615,0.901098984615385,0.127303379245962,0.139020582461538,-0.957324457884615,-0.903923008269231,-0.897736318269231,-0.974467390384615,-0.953631390961538,-0.974661565961538,-0.972546905961538,-0.978635908653846,-0.973751670576923,-0.970154440961538,-0.891907751346154,-0.917987925384615,-0.971605878461538,-0.8496556575,-0.864322464038462,-0.976283534807692,-0.956461756730769,-0.9771595725
5,3,-0.96674254295082,-0.893449307213115,-0.911419015081967,0.93503077852459,-0.301735130327869,0.024763106752459,-0.982020428032787,-0.957425321803279,-0.928161577377049,-0.957086489344262,-0.941686785737705,-0.973059634918033,-0.940937642459016,-0.968433747868853,-0.958293011803279,-0.960123409508197,-0.908075353770492,-0.939507735245902,-0.969931287377049,-0.89243434852459,-0.904801254590164,-0.960570921803279,-0.943948547213115,-0.975595949508197
6,3,-0.982776639193548,-0.962057544516129,-0.96369103483871,-0.241758478064516,0.837032099677419,0.48870318516129,-0.982512193064516,-0.981202749677419,-0.964807543870968,-0.98087931483871,-0.968710724677419,-0.982093162903226,-0.980328645,-0.986762741935484,-0.983338279516129,-0.980665609032258,-0.961169982903226,-0.968332141612903,-0.983691129032258,-0.964094604193548,-0.96327908016129,-0.983122615967742,-0.971044012741936,-0.983711904677419
1,4,-0.440829971333333,-0.0788267367683333,-0.586252806833333,0.963999696833333,-0.0858540265666667,0.127764112666667,-0.983826494833333,-0.967963221,-0.962968112,-0.297042612533333,-0.221165131581667,-0.7513913825,-0.492341066833333,-0.807419937,-0.640454132833333,-0.426719449666667,-0.14939963344,-0.631005470833333,-0.447234929666667,-0.101799450565167,-0.594198325666667,-0.29732607245,-0.2099000063,-0.772359087333333
2,4,-0.204933042903846,-0.0666899105180769,-0.372137777692308,0.946264314423077,-0.232944304615385,0.0841675382884615,-0.958495235576923,-0.923376019038462,-0.919619453269231,-0.380488027307692,-0.281543175326923,-0.726495311923077,-0.533666803846154,-0.840722752692308,-0.556236584807692,-0.294488270365385,-0.117109161492308,-0.524655722692308,-0.173217219014423,-0.101434446040385,-0.345109817692308,-0.396762584807692,-0.314525030788462,-0.762772175
3,4,0.0111935496222222,-0.21859832499,-0.479185977111111,0.947731858666667,-0.0620852772955556,0.148714808888889,-0.955258881333333,-0.932066041111111,-0.937753794444444,-0.145759708684667,-0.146242294857778,-0.626646986888889,-0.395995494444444,-0.816858240222222,-0.325780073711111,-0.0722392276888889,-0.129606639466667,-0.494683451555556,0.0390098262533333,-0.32253131772,-0.512694303111111,-0.208250062317778,-0.177202094317778,-0.668867334444444
4,4,-0.980309931,-0.89022398108,-0.9322030066,0.8693030064,0.211622539936894,0.11012048108,-0.9814052948,-0.93272710386,-0.9509492546,-0.9767421962,-0.9445961056,-0.9790387658,-0.9698997312,-0.984441358,-0.9688048316,-0.9774624984,-0.9057829318,-0.9517837432,-0.9819081892,-0.8894673494,-0.9269993168,-0.9787769122,-0.949293158,-0.9816994482
5,4,-0.97692058,-0.86159737875,-0.896880538392857,0.95619779125,-0.0759009061071429,0.166893825946429,-0.972908355892857,-0.917613464821429,-0.899404775267857,-0.972586541964286,-0.938354677857143,-0.973054201071429,-0.949633878571429,-0.976065174642857,-0.957982019464286,-0.973497549642857,-0.889549205,-0.93164342125,-0.978737637678571,-0.857380281803571,-0.887554317678571,-0.975706723571429,-0.944075308928571,-0.976229505535714
6,4,-0.954193738888889,-0.941714042407407,-0.962667314814815,-0.420664662222222,0.915165104259259,0.341531310555556,-0.921199965925926,-0.969816635740741,-0.976176608888889,-0.978302781111111,-0.942209488333333,-0.978511984259259,-0.975103204259259,-0.986855629814815,-0.983965359814815,-0.958802077592593,-0.938883374444444,-0.967504278888889,-0.952464881481481,-0.946380971111111,-0.962154454259259,-0.980079292592593,-0.944366881666667,-0.980261236296296
1,5,-0.294098534232143,0.0767484028053571,-0.45702143625,0.972624959821429,-0.100440285303571,0.00247623628392857,-0.979348381428571,-0.961585474821429,-0.964580803928571,-0.302891024625,-0.0910397428607143,-0.612895318571429,-0.357681403285714,-0.57143812375,-0.157682543983929,-0.287782607410714,0.00946037755178572,-0.490251090714286,-0.297517355196429,0.0426026830839286,-0.483059957321429,-0.3213903195,-0.0545213604089286,-0.633429995714286
2,5,-0.0457237779851064,0.185022459476596,-0.308938978787234,0.936821834893617,-0.265942569148936,-0.0232035364248936,-0.95357996893617,-0.900511719787234,-0.92141958,-0.223896564340426,-0.125026612744681,-0.63836903212766,-0.305245202489362,-0.631822048297872,-0.282154378489362,-0.161485339978723,0.0728903158085106,-0.457470676808511,-0.00473819670425532,0.165037631180851,-0.28925665906383,-0.22532784293617,-0.105311152804255,-0.668825711276596
3,5,0.275046110468085,0.0907630761042553,-0.325891435319149,0.956649352553192,-0.0607578318319149,0.0216777910246191,-0.950490938510638,-0.912363420851064,-0.927192732978723,0.0322415501638298,0.0473612314702128,-0.52265163787234,-0.411302217446809,-0.514591487234043,-0.0344217467042553,0.0984320090212766,0.0792280694042553,-0.374740089574468,0.336554724893617,0.0268269875085106,-0.353397850212766,0.011055933212766,0.0901720096791489,-0.551178075319149
4,5,-0.980945022045455,-0.904335121022727,-0.926094740227273,0.880731443863636,0.168445524,0.143006857611364,-0.983137541590909,-0.939942979795454,-0.945008999545455,-0.975204850227273,-0.952786261136364,-0.973436529545455,-0.966037012045455,-0.975433911363636,-0.964878512727273,-0.977450812045455,-0.921434735681818,-0.946064216818182,-0.9825908425,-0.9022915301,-0.92184351,-0.976530547272727,-0.954464442045455,-0.97602233
5,5,-0.968591815714286,-0.869439913392857,-0.869327321785714,0.960188699107143,-0.03871012665,0.138638436607143,-0.974088206071429,-0.931973943392857,-0.914608495714286,-0.962647080178571,-0.931217140714286,-0.963832118928571,-0.941930044107143,-0.961177741607143,-0.944755343035714,-0.964500917321429,-0.890796360535714,-0.915083799107143,-0.97066840875,-0.867933178017857,-0.858231387857143,-0.965778920714286,-0.936202600714286,-0.96807230125
6,5,-0.965934509615385,-0.969295613269231,-0.968562516346154,-0.483470597692308,0.954890346153846,0.263644691923077,-0.945695336153846,-0.985964053846154,-0.977076645,-0.983307862115385,-0.964560430961538,-0.985419368461538,-0.983422257692308,-0.983759479230769,-0.989679592307692,-0.968741678461538,-0.965419520961538,-0.977007724615385,-0.964953893653846,-0.972909186730769,-0.965882191153846,-0.985625270384615,-0.96624258,-0.986135599038461
1,6,-0.296538717368421,0.164213884996491,-0.504324207192982,0.958067455087719,-0.214694852280702,0.0331888826842105,-0.977779896491228,-0.964248568070175,-0.957205025789474,-0.132784766936842,0.00808897373684211,-0.575777466491228,-0.18260093354386,-0.416390246140351,-0.166684422233333,-0.187934323140351,0.140781621991228,-0.498520164385965,-0.34522769,0.101699642168947,-0.550474621754386,-0.19269469414386,0.0314450678263158,-0.608624354210526
2,6,-0.0501350188513725,0.189276117327451,-0.353519514896078,0.913632241568627,-0.340732608823529,-0.0184608964392157,-0.959399425098039,-0.912900683137255,-0.906196352156863,-0.180301156098039,-0.0413994646723529,-0.560830688235294,-0.186763293747059,-0.486494120980392,-0.170814790834118,-0.131075372803922,0.0978035099588235,-0.42724809972549,-0.0211335627276471,0.159123777172549,-0.36587418445098,-0.186815074235294,-0.0169811409705882,-0.571673957058824
3,6,0.383681639791667,0.360164958768542,-0.320204232520417,0.928531455208333,-0.214046334375,-0.00307981704708333,-0.9544062675,-0.93357760125,-0.934378766458333,0.165271070858333,0.276544029529167,-0.336817322270833,0.0393387960854167,-0.193508405479167,0.193206498960417,0.328308506041667,0.339771173822917,-0.277602590916667,0.403369766666667,0.283247837625,-0.4060143105,0.0886515099394167,0.341242392604167,-0.389057047125
4,6,-0.980164933636364,-0.923682131090909,-0.925797097090909,0.933692934909091,0.0682628663363636,0.0695219657167273,-0.988872369272727,-0.960875994727273,-0.955475832363636,-0.969929476363636,-0.945143686181818,-0.958572952545454,-0.943714804727273,-0.961780726363636,-0.958787671272727,-0.975351454727273,-0.928264365454545,-0.935798115272727,-0.982451284727273,-0.925676956,-0.925768475636364,-0.971488767454545,-0.946880042,-0.961636555090909
5,6,-0.981758159649123,-0.921493191754386,-0.925692371929825,0.945139003859649,-0.230251036140351,0.0139193473596491,-0.985583066842105,-0.96844910122807,-0.942795062280702,-0.973132635789474,-0.949362277017544,-0.967547241754386,-0.946423593157895,-0.962422163684211,-0.962758177192982,-0.977100287368421,-0.930336471754386,-0.942864017017544,-0.984067374035088,-0.921449111052632,-0.922067224210526,-0.975235677719298,-0.950681450350877,-0.969895845789474
6,6,-0.934049422052632,-0.924644826385965,-0.925216100350877,-0.47670987877193,0.956593814210526,0.175867709021053,-0.887746310350877,-0.959161956491228,-0.928130738421053,-0.966341054736842,-0.933674494385965,-0.959646055263158,-0.939611608245614,-0.958628819649123,-0.959579071578947,-0.939114254210526,-0.923706791403509,-0.938044912280702,-0.932462941461404,-0.929711219929825,-0.924004748421053,-0.968619159473684,-0.935717452807018,-0.963567540877193
1,7,-0.327243240701754,-0.0772618561052631,0.159631283261403,0.932566472280702,-0.159097003684211,-0.160846924029807,-0.979851271403509,-0.969404155087719,-0.952159770526316,-0.346026226140351,-0.0547448948245614,-0.149488514397895,-0.21166729682807,-0.174136410738596,-0.458302971403509,-0.343048405789474,-0.0641564202736842,0.0385832252345614,-0.322034908070175,-0.143721823263158,0.133316828089298,-0.365314790947368,-0.0431917460807018,-0.190751539207018
2,7,-0.29487297445098,-0.32616002254902,-0.145665025639216,0.81874656,-0.240950944117647,-0.403599709607843,-0.932823053333333,-0.939774255490196,-0.881675909607843,-0.415153115882353,-0.519897595686274,-0.60780843627451,-0.616812659215686,-0.671243739607843,-0.682184175686275,-0.336199426470588,-0.381590523137255,-0.317461021372549,-0.279870086215686,-0.341025552941176,-0.124912269443137,-0.426974025686275,-0.53419130254902,-0.631919608823529
3,7,0.0660815600978723,-0.138179072734043,-0.0636402447755319,0.930623632765957,-0.12987167306383,-0.154935538544681,-0.964875962978723,-0.952678693617021,-0.92875646893617,0.0285033927287234,-0.296279674759574,-0.347107758021277,-0.510731018297872,-0.299520205208511,-0.425200371553192,0.0443428315319149,-0.145302311446808,-0.139216222106383,0.0730110797851064,-0.190187141297872,-0.100121492529787,-0.00426289144680851,-0.324378560319149,-0.397774503468085
4,7,-0.972668374583333,-0.909454698541667,-0.8565329414375,0.969147824375,0.00608846646041667,0.0649636250354167,-0.957082433333333,-0.945436264583333,-0.868602535416667,-0.982158098125,-0.969458676458333,-0.972256472708333,-0.974369045625,-0.981024680625,-0.980954665416667,-0.972697126875,-0.93149063375,-0.904675337916667,-0.972879966041667,-0.904629195833333,-0.844083052916667,-0.984026344375,-0.971814980208333,-0.974699194375
5,7,-0.979307570377358,-0.923400921886792,-0.917064168490566,0.958728687924528,-0.117607048924528,-0.0516573721320755,-0.987917503962264,-0.966162998679245,-0.939161014716981,-0.976403544716981,-0.965810609622642,-0.972060053207547,-0.96598339754717,-0.976837757358491,-0.978166790943396,-0.976681834339623,-0.941883783773585,-0.938550519811321,-0.980541336037736,-0.919118753018868,-0.912358813773585,-0.978729082830189,-0.966850290188679,-0.974533710754717
6,7,-0.93651361,-0.926262668653846,-0.952978365961539,-0.502814250576923,0.393444278076923,0.907537823461538,-0.914221270096154,-0.955543549230769,-0.961908984423077,-0.980977756153846,-0.973093160192308,-0.972983064230769,-0.9738372325,-0.976483727307692,-0.988871878269231,-0.953424245576923,-0.942193953846154,-0.958611644615385,-0.931120580576923,-0.922917902307692,-0.953380646346154,-0.983560175384615,-0.975886145,-0.975072995192308
1,8,-0.173605736002083,0.380782052708333,-0.1420885318125,0.913586347916667,-0.217102194583333,-0.186267836962021,-0.974752050208333,-0.956781505625,-0.956640104791667,-0.2586886278125,0.233987544458333,-0.383200596479167,-0.2460827504375,-0.428055700208333,-0.388446971666667,-0.247389011875,0.316982393333333,-0.238634594791667,-0.148386858858333,0.32484493125,-0.158437341970833,-0.271448185291667,0.315883536479167,-0.4044825094375
2,8,-0.171712174634146,0.348768733170732,0.121187278790244,0.860368718780488,-0.291341491707317,-0.192306960631707,-0.926673287804878,-0.931032068536585,-0.876168930487805,-0.186618895268293,-0.0123501104926829,-0.447518179097561,-0.40507069195122,-0.424675673414634,-0.430366658780488,-0.166411065387805,0.263431399878049,-0.0729496941121951,-0.175284990170732,0.30540146,0.133766193578049,-0.24733661795122,-0.0700821464439024,-0.508248316829268
3,8,0.0241393473736842,0.343826273105263,0.1337170395,0.914023498421053,-0.187610243421053,-0.141817934963684,-0.945766561578947,-0.941580934473684,-0.897190012631579,0.250143724521053,0.288140718789474,-0.0135136269,-0.267887897328947,-0.0704526510842105,-0.1896044435,0.136590199860526,0.388412779763158,0.159589756534211,-0.0260463260078947,0.232184078052632,0.0214914840105263,0.172658982065789,0.273943791773684,-0.0846674186842105
4,8,-0.979026152391304,-0.927331997021739,-0.939553030217391,0.832453878043478,0.240095117065217,0.263895185521739,-0.966757967173913,-0.937462301369565,-0.935475331521739,-0.985188753695652,-0.980784606086957,-0.985285807173913,-0.993264647391304,-0.98887627673913,-0.985241405434783,-0.981142909782609,-0.94421971826087,-0.959436275869565,-0.978256730652174,-0.923829969347826,-0.933889846521739,-0.986913610652174,-0.983038783478261,-0.986185349347826
5,8,-0.988815418148148,-0.938479429074074,-0.926065255185185,0.957669921111111,-0.0904603488214815,-0.0979392024814815,-0.987690217222222,-0.958904114074074,-0.918293913703704,-0.989198879814815,-0.976442140740741,-0.982610899259259,-0.981573085740741,-0.985508765185185,-0.989270900740741,-0.988219862222222,-0.9500491,-0.950362935555556,-0.98918374962963,-0.936231722777778,-0.919744963888889,-0.990414086851852,-0.97858173,-0.984465744444444
6,8,-0.94304121537037,-0.93489116,-0.932491454407407,-0.405930036111111,0.589922434814815,0.719831539259259,-0.918873192333333,-0.957990036481482,-0.94183626337037,-0.973253042222222,-0.976520952037037,-0.96608757462963,-0.969924077407407,-0.974186451851852,-0.987601203703704,-0.953538563888889,-0.951816663703704,-0.944269514074074,-0.940125298333333,-0.931236756962963,-0.931146497518519,-0.975959911481481,-0.979170881666667,-0.968699222962963
1,9,-0.238353562692308,-0.201696960826923,-0.0579636469030769,0.951867079615385,-0.0314341738730769,-0.115856121080385,-0.980971973653846,-0.971242423076923,-0.955523995576923,-0.206733787961538,-0.276929933846154,-0.409764526153846,-0.526985309038462,-0.549200228076923,-0.457881494038462,-0.294711163653846,-0.257677616153846,-0.250806259788462,-0.218019977423077,-0.223972558596154,-0.0337965256573077,-0.170228340134423,-0.228380473480769,-0.419104362884615
2,9,-0.36144437755102,-0.302206203816327,-0.253434083542857,0.902647777755102,-0.0377947824285714,-0.266009866857143,-0.954383557142857,-0.901317321632653,-0.89407107877551,-0.335291644693878,-0.586147012244898,-0.647296002040816,-0.660419534285714,-0.708604774693878,-0.65711420122449,-0.342735952653061,-0.405022798163265,-0.384710423408163,-0.369815777346939,-0.297641062755102,-0.244081808302041,-0.327421989591837,-0.590112916530612,-0.677831082857143
3,9,0.213392270547619,-0.208310705504762,-0.00771530035714285,0.938417773333333,-0.0352304645104762,-0.082276174942619,-0.952141220714286,-0.936306558809524,-0.876641297380952,0.017623342197619,-0.3094424725,-0.359513362761905,-0.509669314047619,-0.448602451190476,-0.417239550952381,0.103128506197619,-0.183120455428571,-0.103705822657857,0.250488758869048,-0.273561385142857,-0.0349494927142857,0.00938224337142857,-0.355981821428571,-0.425377408333333
4,9,-0.9572277914,-0.875141405,-0.83200187268,0.9163245106,-0.0414258228938,0.085263099144,-0.9552804062,-0.94645197,-0.88585411242,-0.9645358564,-0.9567775448,-0.9618894376,-0.9645323452,-0.9719274472,-0.9687388914,-0.959413594,-0.911683219,-0.8922013438,-0.956903459,-0.86761360746,-0.818001834824,-0.9666604036,-0.9585229866,-0.9649413418
5,9,-0.975741252444444,-0.938635759333333,-0.919295805777778,0.961323502222222,-0.010383816474,0.00914769235555555,-0.989103160444444,-0.972573867555556,-0.932245295111111,-0.969973398888889,-0.963849332888889,-0.970584264666667,-0.949105691555556,-0.975036530444444,-0.969726483555556,-0.971662692,-0.944849431777778,-0.941686874222222,-0.977579248444444,-0.938790016888889,-0.913896832222222,-0.971278823333333,-0.968234579555556,-0.972588748666667
6,9,-0.94233309,-0.9162927764,-0.9407072854,-0.5802528348,-0.1191541962,0.9578730416,-0.9218210626,-0.9699944882,-0.9712046902,-0.9647404702,-0.9639966798,-0.958562455,-0.945329035,-0.9621702422,-0.9770761602,-0.946865494,-0.9343665984,-0.9459190006,-0.9409810272,-0.9128367508,-0.9419711636,-0.9686013042,-0.966634136,-0.9597147176
1,10,-0.178709734396226,-0.0227431651698113,-0.395645072075472,0.963092149811321,-0.0838277013962264,0.0549276242264151,-0.974435158113208,-0.971114719811321,-0.957862728301887,-0.0521991013207547,0.0750804952113207,-0.511662905849057,-0.366063723207547,-0.509683327924528,-0.329079492641509,-0.114190001283019,0.0533911909886792,-0.41218272245283,-0.206366497226415,-0.129775706316981,-0.435304215660377,-0.0791518267107547,0.0484867672264151,-0.558512650188679
2,10,-0.161591924234043,-0.00555287692765957,-0.0738744931340426,0.931861027446809,-0.0565670278723404,0.0227527702016383,-0.959216072340425,-0.937039417446809,-0.864745838297872,-0.187220175510638,-0.177803083425532,-0.607520480212766,-0.427291343617021,-0.60462905787234,-0.482244799361702,-0.139410790617021,-0.0390688222212766,-0.301206408085106,-0.171957349438298,-0.051628469647234,-0.0342347233914894,-0.247598320858298,-0.202796129097872,-0.662894135319149
3,10,0.295733547631579,0.00407915363157895,-0.183557562032895,0.939807421052632,-0.0646160768947368,0.0418715409263158,-0.939267613157895,-0.937003823684211,-0.902085224736842,0.223275806105263,-0.105020355562895,-0.318188417289474,-0.416986139210526,-0.471650977631579,-0.227137389605263,0.215665273157895,0.00904660360263158,-0.157728357742105,0.324957743157895,-0.0633337717526316,-0.268686170263158,0.156912678626316,-0.153355802565789,-0.396147929736842
4,10,-0.982901825925926,-0.917979529962963,-0.967826981666667,0.791887198148148,-0.041260775,0.20253457287037,-0.973128354074074,-0.935690006481481,-0.966898520555556,-0.988946414074074,-0.980756789814815,-0.988255803703704,-0.992326657222222,-0.992584494814815,-0.990259813148148,-0.984943144259259,-0.9404502,-0.97464465462963,-0.982242427777778,-0.912838063018519,-0.966121042592593,-0.989550917407407,-0.982045591111111,-0.98911086
5,10,-0.978403481818182,-0.919561843409091,-0.941271440454545,0.954008785454545,-0.0431597830454545,0.0346980210431818,-0.991259485,-0.975410724090909,-0.959579657727273,-0.964311490454545,-0.941328663409091,-0.9764306,-0.950367548409091,-0.976445016590909,-0.969051030681818,-0.970099814318182,-0.923378745227273,-0.955272383863636,-0.982949246136364,-0.921860476590909,-0.938098683181818,-0.968612135909091,-0.944847393636364,-0.979428729090909
6,10,-0.968283685,-0.946454302068966,-0.95947148637931,-0.453069737586207,-0.139297681034483,-0.031121624137931,-0.954531941896552,-0.966701156034483,-0.963045642431035,-0.978007466724138,-0.966930793448276,-0.976256662586207,-0.965900578103448,-0.966621040344828,-0.983949302758621,-0.96918420862069,-0.954341849137931,-0.964300845172414,-0.96796803862069,-0.946229148258621,-0.959813667810345,-0.978904364137931,-0.968120692241379,-0.978582339137931
1,11,-0.422842071864407,-0.0522120750440678,-0.530626311355932,0.946468451355932,-0.212045870169492,0.134053215101695,-0.98110101440678,-0.966240553559322,-0.960852684067797,-0.428516343559322,-0.181419230254237,-0.720654731186441,-0.541616397118644,-0.737993755932203,-0.551079942542373,-0.396533731864407,-0.0830478435976271,-0.616402910169492,-0.433703311525424,-0.0966068285372881,-0.523093394915254,-0.45394304,-0.170177403123729,-0.747564612033898
2,11,-0.238802959018519,-0.103167501868519,-0.203369399185185,0.892626155555556,-0.343576924814815,0.146633747092593,-0.953463105740741,-0.924360832962963,-0.906933171111111,-0.452961683518519,-0.428119229814815,-0.785359167222222,-0.660431336111111,-0.809459436666667,-0.777173388518518,-0.355348902222222,-0.254645206944444,-0.551742083518519,-0.198733655611111,-0.0885048145574074,-0.113701770190741,-0.458255021296296,-0.437276328518518,-0.803845087037037
